ID,Sex,Age,HiQual,Work,MarStat,NumAdult,NumChild,Accom,Tenure,NumRooms,TVSet,Cable,Comp,HmIntnet,SleepHours,EmploymentHours,ComputingHours,ReadingHours,TVVideoHours,RadioMusicHours,Degree
1,Female,49,Nursing or other medical qualification not yet mentioned,Employed,Married/Partnership/Cohabiting,3,1,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,4.833333333,0,4.666666667,1.5,1.333333333,0,No University Degree
5,Male,79,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,7.666666667,0,1.5,0.666666667,6.333333333,0,University Degree
7,Female,71,Nursing or other medical qualification not yet mentioned,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,9.666666667,0,0,0,4.166666667,0,No University Degree
9,Male,78,cse,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,5,Yes,Yes,Yes,Yes,6.166666667,0,0,4.166666667,4.5,0,No University Degree
11,Male,72,Other higher education qualification below degree level,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Renter (Private),3,Yes,Yes,No,Yes,7.5,8,0.333333333,0,1.166666667,0,No University Degree
13,Female,63,GCSE/Vocational GCSE,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Renter (Private),3,Yes,Yes,No,Yes,7.5,7.166666667,0,0.333333333,3,0,No University Degree
15,Female,28,Teaching qualification (excluding PGCE),Not in empl.,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),5,No,No,Yes,Yes,7.666666667,0.166666667,0.333333333,0,0.833333333,0,No University Degree
17,Male,36, A level/GCE in Applied Subjects or equivalent,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),5,No,No,Yes,Yes,7.5,6.833333333,0,0,1,0,No University Degree
19,Female,72,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,Yes,No,Yes,Yes,8,0,2.5,1.5,1.5,0,University Degree
21,Male,74,"Degree level qualification incl. foundation degrees, graduat",Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,Yes,No,Yes,Yes,7.333333333,3,0.833333333,0.166666667,0,0,University Degree
23,Female,42,NVQ / SVQ,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Living Rent Free,6,Yes,Yes,Yes,Yes,6.833333333,0,1.166666667,0,3.333333333,0,No University Degree
25,Male,45,City and Guilds,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Living Rent Free,6,Yes,Yes,Yes,Yes,6.333333333,4.833333333,0,0,2.166666667,0,No University Degree
31,Female,43,HNC / HND,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),3,Yes,No,Yes,Yes,9.166666667,2.166666667,0,1.166666667,0.666666667,0,No University Degree
35,Male,41,BTEC/BEC/TEC/EdExcel/LQL,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),3,Yes,No,Yes,Yes,8.5,0,0,0,4.333333333,0,No University Degree
37,Male,83,None of the above,Retired,Widowed,1,0,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,5.333333333,0,0,0.666666667,5,0,No University Degree
39,Female,64,O level or equivalent,Disabled,Divorced/Separated,1,0,House or bungalow,Owner,4,Yes,No,Yes,Yes,9.5,0,0,0,1,0,No University Degree
41,Female,54,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,3,0,House or bungalow,Owner,9,Yes,Yes,Yes,Yes,9.5,2.5,1,1,1.5,0,University Degree
43,Male,56,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,3,0,House or bungalow,Owner,9,Yes,Yes,Yes,Yes,11.66666667,3.666666667,0,0,1,0,University Degree
45,Female,22,"Degree level qualification incl. foundation degrees, graduat",Employed,"Single, never married",3,0,House or bungalow,Owner,9,Yes,Yes,Yes,Yes,10.5,0,0,0.5,1.833333333,0,University Degree
47,Male,75,cse,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,No,No,Yes,Yes,7,0,0,0,5.5,0.166666667,No University Degree
49,Female,74,None of the above,Retired,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,6,No,No,Yes,Yes,7,0,0,0,0,0.5,No University Degree
51,Female,53,"Degree level qualification incl. foundation degrees, graduat",Employed,Divorced/Separated,1,0,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,6.333333333,0,0.666666667,0,0.833333333,0,University Degree
53,Female,46,Diploma in higher education,Employed,Married/Partnership/Cohabiting,3,1,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,9,0.166666667,0,0,2.833333333,0.166666667,No University Degree
55,Male,63,Any other professional/vocational/foreign qualifications,Employed,Married/Partnership/Cohabiting,3,1,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,8.833333333,7.5,1.333333333,0,3.166666667,0,No University Degree
61,Male,91,"Degree level qualification incl. foundation degrees, graduat",Employed,Divorced/Separated,1,0,House or bungalow,Owner,6,Yes,No,No,No,9.833333333,0,0,1.5,2.333333333,0,University Degree
63,Female,50,O level or equivalent,Not in empl.,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),5,Yes,Yes,Yes,Yes,9.666666667,0,0,0,5.333333333,0,No University Degree
65,Male,48,O level or equivalent,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Renter (Private),5,Yes,Yes,Yes,Yes,8.666666667,0,3.833333333,0,1.5,0,No University Degree
69,Female,56,Diploma in higher education,Retired,"Single, never married",1,0,House or bungalow,Owner,5,Yes,No,Yes,Yes,9,0,0.666666667,0.5,1,0,No University Degree
71,Female,50,"Degree level qualification incl. foundation degrees, graduat",Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,8.333333333,8.333333333,0,0,2.333333333,0,University Degree
73,Male,52, A level/GCE in Applied Subjects or equivalent,Employed,Married/Partnership/Cohabiting,2,2,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,4.333333333,8.333333333,0,0,4.333333333,0,No University Degree
75,Male,95,Item not applicable,NA,NA,2,2,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,12.16666667,0,0,0,0.166666667,0,No University Degree
77,Female,94,O level or equivalent,Retired,Widowed,1,0,House or bungalow,Owner,6,Yes,No,No,No,10,0,0,0,5.166666667,0,No University Degree
79,Male,55,City and Guilds,Employed,Married/Partnership/Cohabiting,3,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,6.333333333,0,0,0,3,0,No University Degree
81,Female,49,RSA/OCR,Employed,Married/Partnership/Cohabiting,3,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,5.333333333,0,0,0.166666667,2,0,No University Degree
83,Female,19, A level/GCE in Applied Subjects or equivalent,Employed,"Single, never married",3,0,House or bungalow,Owner,7,Yes,Yes,Yes,Yes,10.83333333,0,1,0,2,0,No University Degree
85,Male,26,GCSE/Vocational GCSE,Employed,"Single, never married",1,0,House or bungalow,Owner,2,Yes,No,Yes,No,7.833333333,9.833333333,0,0,1.5,0,No University Degree
87,Female,85,Teaching qualification (excluding PGCE),Retired,Widowed,1,0,House or bungalow,Owner,6,Yes,Yes,Yes,Yes,9.5,0,0,0,5.166666667,0,No University Degree
89,Male,68,None of the above,Employed,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,7.5,8,0,0.666666667,3.666666667,0,No University Degree
91,Female,66,None of the above,Not in empl.,Married/Partnership/Cohabiting,2,0,House or bungalow,Owner,4,Yes,Yes,Yes,Yes,7,0,0,0,3,0,No University Degree
